

gen best mean std
0 55.30249 4.357217 16.457992
1 55.784467 18.132539 19.008985
2 55.784467 32.354994 12.118455
3 55.784467 34.885034 11.293832
4 60.474207 37.944717 9.799215
5 60.474207 38.13444 10.394546
6 60.474207 38.40749 9.411505
7 62.69628 37.769194 11.157335
8 63.115563 39.265373 10.589303
9 63.115563 41.014797 10.028542
10 63.115563 41.509264 10.567182
11 63.115563 41.633585 9.515315
12 63.115563 42.476147 9.365431
13 63.115563 41.480177 10.699316
14 63.115563 41.499455 8.92439
15 63.115563 42.522901 8.441287
16 63.115563 42.237534 8.793034
17 63.115563 43.128567 8.700144
18 68.015058 43.523478 9.771854
19 68.015058 43.997928 9.019209
20 68.015058 43.777728 8.435316
21 68.015058 44.591245 8.614463
22 68.015058 43.202772 9.581749
23 68.015058 42.32675 10.202822
24 68.015058 42.977283 9.189924
25 68.015058 42.4892 8.303986
26 68.015058 42.515449 8.633779
27 68.015058 43.493563 7.646801
28 68.015058 44.615841 7.252864
29 68.015058 42.823846 8.201118
